Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98668.590;98730.146;98691.166;210.450;566.324;794.220;1003.145;26.596;-515.328;-192.882;1339.499;-51.667;-944.585;247.843;-66.368;132.248;-936.838;29.768;-6947.500;-9467.500;542.500;-116410.000;-7700.000;211557.500;-23730.000;-103617.500;-215862.500;-4217.500;12582.500;-2135.000;12617.500;-5075.000;1102.500;1719306512511;
98668.590;98730.146;98691.166;214.354;569.008;815.753;790.499;-556.198;-542.412;-21.106;1088.484;-129.564;-939.827;229.055;-64.050;107.177;-931.592;12.383;-6965.000;-15960.000;-3272.500;-118702.500;41842.500;211067.500;27090.000;-107065.000;-219572.500;-2310.000;13720.000;3797.500;13282.500;-2765.000;-4900.000;1719306512542;
98668.508;98729.772;98691.166;209.840;575.047;807.213;540.704;-1127.707;-414.251;144.143;743.651;-172.813;-921.771;221.796;-58.987;84.363;-913.658;20.923;-13195.000;-14472.500;-5617.500;-160580.000;167265.000;48755.000;142905.000;-154507.500;-91490.000;-1837.500;14402.500;7070.000;13842.500;-2117.500;-8225.000;1719306512571;
98668.508;98729.772;98691.166;213.622;559.126;812.093;526.979;-1100.135;-364.536;156.404;762.744;-141.337;-917.440;202.276;-62.098;93.818;-909.632;60.573;-13965.000;-16222.500;-7472.500;-166320.000;184765.000;18987.500;181702.500;-171360.000;-33390.000;3920.000;14262.500;17552.500;12950.000;3972.500;-18585.000;1719306512594;
98668.508;98729.772;98691.498;219.112;557.479;823.683;510.021;-979.843;-247.660;151.341;799.405;-115.778;-1026.020;71.919;-32.818;32.452;-1018.395;58.011;-13895.000;-15540.000;-8172.500;-174527.500;216387.500;-35770.000;199587.500;-178062.500;-5862.500;34772.500;1050.000;36995.000;-2537.500;35910.000;-35752.500;1719306512625;
98668.086;98729.875;98691.498;226.615;545.584;812.032;535.702;-698.755;-37.881;112.484;954.955;-14.396;-1047.614;16.409;-22.448;23.729;-1038.281;11.773;-13265.000;-15260.000;-8592.500;-176365.000;250985.000;-98350.000;242777.500;-188440.000;62177.500;36155.000;-682.500;38255.000;-4322.500;37187.500;-36785.000;1719306512646;
98668.086;98729.875;98691.185;255.834;528.199;800.564;565.897;-590.480;43.432;58.316;1081.164;74.664;-1060.790;-37.881;-23.424;56.547;-1056.947;-62.403;-12950.000;-16677.500;-8540.000;-174072.500;257705.000;-112105.000;259035.000;-186375.000;91070.000;11760.000;4287.500;26582.500;2275.000;11620.000;-26390.000;1719306512711;
98668.086;98729.875;98691.185;265.106;553.880;813.313;738.649;-280.600;294.569;-55.754;1255.563;215.452;-1047.492;-34.160;-22.692;41.053;-1041.575;-42.273;-15295.000;-16310.000;-7490.000;-160965.000;258755.000;-131442.500;257215.000;-172777.500;107240.000;1400.000;6247.500;21980.000;3797.500;5932.500;-24255.000;1719306512717;
98667.840;98729.744;98690.692;254.614;513.376;817.217;917.257;-59.353;488.244;-149.511;1336.510;317.871;-1007.842;73.505;-117.913;121.756;-1015.162;104.005;-18147.500;-16712.500;-6370.000;-149590.000;241237.500;-125072.500;234990.000;-159827.500;98805.000;2117.500;1435.000;9765.000;402.500;2310.000;-9782.500;1719306512759;
98668.143;98729.744;98690.692;242.353;530.151;817.095;1370.365;423.584;805.078;-334.646;1413.309;445.666;-1012.051;96.136;-135.115;129.747;-1017.602;99.552;-17675.000;-17902.500;-7525.000;-127382.500;130812.500;-42892.500;140105.000;-134662.500;36767.500;4585.000;1242.500;8417.500;315.000;4707.500;-8347.500;1719306512796;
98668.143;98729.744;98690.692;243.085;532.591;823.561;1424.350;492.697;835.212;-393.694;1426.363;474.031;-1013.027;126.331;-155.428;144.875;-1016.870;95.221;-17867.500;-18655.000;-7910.000;-124880.000;100135.000;-16642.500;74287.500;-124687.500;-13562.500;8295.000;2257.500;6860.000;1487.500;8190.000;-6772.500;1719306512807;
